Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-DK-A1A6-01A-11D-A13V-01	2	12021442	12022803	2	-0.995
TCGA-DK-A1A6-01A-11D-A13V-01	2	12037179	56258262	25588	0.1987
TCGA-DK-A1A6-01A-11D-A13V-01	2	56258347	56258784	4	-0.8165
TCGA-DK-A1A6-01A-11D-A13V-01	2	56261146	89130753	17599	0.1749
TCGA-DK-A1A6-01A-11D-A13V-01	2	95341700	97683329	644	0.6519
TCGA-DK-A1A6-01A-11D-A13V-01	2	97693349	97703271	3	0.1676
TCGA-DK-A1A6-01A-11D-A13V-01	2	97703284	98289839	16	0.8432
TCGA-DK-A1A6-01A-11D-A13V-01	2	98289997	101612615	1960	1.2827
TCGA-DK-A1A6-01A-11D-A13V-01	2	101614322	103375992	1093	0.8812
TCGA-DK-A1A6-01A-11D-A13V-01	2	103380874	157841800	28569	0.1966
TCGA-DK-A1A6-01A-11D-A13V-01	2	157846087	161597537	2225	0.8187
TCGA-DK-A1A6-01A-11D-A13V-01	2	161597652	164753038	1726	1.0418
TCGA-DK-A1A6-01A-11D-A13V-01	2	164753229	164925101	89	1.3285
TCGA-DK-A1A6-01A-11D-A13V-01	2	164928490	165329104	211	1.0176
TCGA-DK-A1A6-01A-11D-A13V-01	2	165329726	165377199	26	0.49
TCGA-DK-A1A6-01A-11D-A13V-01	2	165379463	242476062	44368	-0.142
TCGA-DK-A1A6-01A-11D-A13V-01	3	2212571	32131082	17858	0.49
TCGA-DK-A1A6-01A-11D-A13V-01	3	32131240	32131348	2	1.5308
TCGA-DK-A1A6-01A-11D-A13V-01	3	32132032	41914188	5943	0.495
TCGA-DK-A1A6-01A-11D-A13V-01	3	42217863	59639362	9495	-0.5691
TCGA-DK-A1A6-01A-11D-A13V-01	3	59639865	59640196	3	-2.005
TCGA-DK-A1A6-01A-11D-A13V-01	3	59641065	65736146	3799	-0.587
TCGA-DK-A1A6-01A-11D-A13V-01	3	65738265	65871499	120	-0.1115
TCGA-DK-A1A6-01A-11D-A13V-01	3	65874608	82337711	9858	-0.5858
TCGA-DK-A1A6-01A-11D-A13V-01	3	82339880	95499955	4683	0.4751
TCGA-DK-A1A6-01A-11D-A13V-01	3	95500438	95506627	3	-0.5879
TCGA-DK-A1A6-01A-11D-A13V-01	3	95508664	95686081	84	0.4346
TCGA-DK-A1A6-01A-11D-A13V-01	3	95686610	95687051	2	-0.8521
TCGA-DK-A1A6-01A-11D-A13V-01	3	95691940	197538677	54441	0.6362
TCGA-DK-A1A6-01A-11D-A13V-01	4	1053934	29316059	17676	0.2217
TCGA-DK-A1A6-01A-11D-A13V-01	4	29316074	29318265	4	-0.4737
TCGA-DK-A1A6-01A-11D-A13V-01	4	29318422	41340526	7075	0.2117
TCGA-DK-A1A6-01A-11D-A13V-01	4	41341105	188763651	77920	-0.108
TCGA-DK-A1A6-01A-11D-A13V-01	5	914233	14576344	9431	-0.1205
TCGA-DK-A1A6-01A-11D-A13V-01	5	14580576	15330092	430	-1.2798
TCGA-DK-A1A6-01A-11D-A13V-01	5	15331119	15332706	11	-0.2451
TCGA-DK-A1A6-01A-11D-A13V-01	5	15333853	15337708	7	-1.1596
TCGA-DK-A1A6-01A-11D-A13V-01	5	15338073	15338536	5	-2.0101
TCGA-DK-A1A6-01A-11D-A13V-01	5	15339287	16049924	6	-0.9681
TCGA-DK-A1A6-01A-11D-A13V-01	5	16054174	20153669	2210	-0.0971
TCGA-DK-A1A6-01A-11D-A13V-01	5	20162376	20162658	2	-1.6393
TCGA-DK-A1A6-01A-11D-A13V-01	5	20162772	77425099	29172	-0.1124
TCGA-DK-A1A6-01A-11D-A13V-01	5	77425475	77425787	3	-1.1021
TCGA-DK-A1A6-01A-11D-A13V-01	5	77428585	106361340	14243	-0.1209
TCGA-DK-A1A6-01A-11D-A13V-01	5	106363192	106373521	6	-0.8926
TCGA-DK-A1A6-01A-11D-A13V-01	5	106373854	180360469	44902	-0.1076
TCGA-DK-A1A6-01A-11D-A13V-01	6	1014281	3640209	1936	-0.5657
TCGA-DK-A1A6-01A-11D-A13V-01	6	3643787	8830367	3790	0.2391
TCGA-DK-A1A6-01A-11D-A13V-01	6	8832274	8832745	2	-0.9338
TCGA-DK-A1A6-01A-11D-A13V-01	6	8834951	10447533	1107	0.2742
TCGA-DK-A1A6-01A-11D-A13V-01	6	10448357	13523834	2202	-0.1004
TCGA-DK-A1A6-01A-11D-A13V-01	6	13529708	13851637	189	0.8695
TCGA-DK-A1A6-01A-11D-A13V-01	6	13851897	14247073	258	0.2318
TCGA-DK-A1A6-01A-11D-A13V-01	6	14249675	14428518	136	-0.1127
TCGA-DK-A1A6-01A-11D-A13V-01	6	14429348	16147349	1099	0.4559
TCGA-DK-A1A6-01A-11D-A13V-01	6	16150273	16225862	50	0.7217
TCGA-DK-A1A6-01A-11D-A13V-01	6	16244385	16882836	509	1.163
TCGA-DK-A1A6-01A-11D-A13V-01	6	16889646	18225301	741	0.8789
TCGA-DK-A1A6-01A-11D-A13V-01	6	18226701	18238568	12	0.3896
TCGA-DK-A1A6-01A-11D-A13V-01	6	18238902	19549586	1011	1.05
TCGA-DK-A1A6-01A-11D-A13V-01	6	19549681	21901093	1549	1.3494
TCGA-DK-A1A6-01A-11D-A13V-01	6	21907199	22920118	876	1.0723
TCGA-DK-A1A6-01A-11D-A13V-01	6	22920644	27872759	2536	0.7384
TCGA-DK-A1A6-01A-11D-A13V-01	6	27873927	50116702	11462	-0.1146
TCGA-DK-A1A6-01A-11D-A13V-01	6	50116960	50117072	2	-2.2071
TCGA-DK-A1A6-01A-11D-A13V-01	6	50121584	67280940	6903	-0.1367
TCGA-DK-A1A6-01A-11D-A13V-01	6	67282210	107981997	22790	-0.5742
TCGA-DK-A1A6-01A-11D-A13V-01	6	107982925	107984276	5	-1.7167
TCGA-DK-A1A6-01A-11D-A13V-01	6	107986543	154800018	28487	-0.576
TCGA-DK-A1A6-01A-11D-A13V-01	6	154802665	155106151	146	-1.3048
TCGA-DK-A1A6-01A-11D-A13V-01	6	155109091	170903919	8526	-0.5886
TCGA-DK-A1A6-01A-11D-A13V-01	7	705284	16024878	7667	-0.0996
TCGA-DK-A1A6-01A-11D-A13V-01	7	16024963	16024988	2	-0.9803
TCGA-DK-A1A6-01A-11D-A13V-01	7	16025206	33124005	10530	-0.0907
TCGA-DK-A1A6-01A-11D-A13V-01	7	33190591	33708138	322	-0.5266
TCGA-DK-A1A6-01A-11D-A13V-01	7	33708637	42266602	5749	-0.0892
TCGA-DK-A1A6-01A-11D-A13V-01	7	42267336	42267571	2	-1.1795
TCGA-DK-A1A6-01A-11D-A13V-01	7	42270322	123963609	38898	-0.074
TCGA-DK-A1A6-01A-11D-A13V-01	7	123967411	123967706	2	-1.5638
TCGA-DK-A1A6-01A-11D-A13V-01	7	123967990	146396936	11844	-0.0743
TCGA-DK-A1A6-01A-11D-A13V-01	7	146397188	146397339	2	-1.5082
TCGA-DK-A1A6-01A-11D-A13V-01	7	146397847	158385118	6274	-0.0853
TCGA-DK-A1A6-01A-11D-A13V-01	8	617667	17612345	8736	-0.1622
TCGA-DK-A1A6-01A-11D-A13V-01	8	17612456	17612508	2	-1.3723
TCGA-DK-A1A6-01A-11D-A13V-01	8	17612846	27405136	7041	-0.1318
TCGA-DK-A1A6-01A-11D-A13V-01	8	27405150	27405158	2	-1.4195
TCGA-DK-A1A6-01A-11D-A13V-01	8	27405173	38133793	6235	-0.1613
TCGA-DK-A1A6-01A-11D-A13V-01	8	38134155	38207123	26	0.4755
TCGA-DK-A1A6-01A-11D-A13V-01	8	38236890	38917849	318	1.1381
TCGA-DK-A1A6-01A-11D-A13V-01	8	38919407	39683873	318	1.4578
TCGA-DK-A1A6-01A-11D-A13V-01	8	39686717	40644788	718	0.9662
TCGA-DK-A1A6-01A-11D-A13V-01	8	40651570	40798805	96	0.4835
TCGA-DK-A1A6-01A-11D-A13V-01	8	40798860	47509860	1272	0.8199
TCGA-DK-A1A6-01A-11D-A13V-01	8	47516635	47642914	55	0.5848
TCGA-DK-A1A6-01A-11D-A13V-01	8	47643485	48582114	333	1.0437
TCGA-DK-A1A6-01A-11D-A13V-01	8	48587998	60838202	7054	0.1928
TCGA-DK-A1A6-01A-11D-A13V-01	8	60838383	62096568	803	0.4908
TCGA-DK-A1A6-01A-11D-A13V-01	8	62097189	67513965	3079	0.6952
TCGA-DK-A1A6-01A-11D-A13V-01	8	67518239	67901483	143	1.0416
TCGA-DK-A1A6-01A-11D-A13V-01	8	67901607	91293654	13146	0.7767
TCGA-DK-A1A6-01A-11D-A13V-01	8	91297116	93573237	1210	0.4209
TCGA-DK-A1A6-01A-11D-A13V-01	8	93575293	93602334	30	0.819
TCGA-DK-A1A6-01A-11D-A13V-01	8	93607046	93981977	190	1.1937
TCGA-DK-A1A6-01A-11D-A13V-01	8	93982198	94693637	438	0.8776
TCGA-DK-A1A6-01A-11D-A13V-01	8	94704173	94986567	147	1.3187
TCGA-DK-A1A6-01A-11D-A13V-01	8	94986761	95132333	123	1.6268
TCGA-DK-A1A6-01A-11D-A13V-01	8	95132887	95556443	268	1.2302
TCGA-DK-A1A6-01A-11D-A13V-01	8	95556459	95570091	15	0.8631
TCGA-DK-A1A6-01A-11D-A13V-01	8	95570295	95570545	3	0.219
TCGA-DK-A1A6-01A-11D-A13V-01	8	95576350	96469951	566	1.0164
TCGA-DK-A1A6-01A-11D-A13V-01	8	96470300	96862734	293	0.4793
TCGA-DK-A1A6-01A-11D-A13V-01	8	96863437	99183968	1453	0.9717
TCGA-DK-A1A6-01A-11D-A13V-01	8	99184897	99563035	237	1.2516
TCGA-DK-A1A6-01A-11D-A13V-01	8	99564447	103715226	2287	1.7914
TCGA-DK-A1A6-01A-11D-A13V-01	8	103729209	106975062	1870	0.4264
TCGA-DK-A1A6-01A-11D-A13V-01	8	106977229	107537204	30	0.7195
TCGA-DK-A1A6-01A-11D-A13V-01	8	107538660	114483438	3755	0.4226
TCGA-DK-A1A6-01A-11D-A13V-01	8	114483583	124731022	6452	0.6708
TCGA-DK-A1A6-01A-11D-A13V-01	8	124731641	125654384	557	1.0062
TCGA-DK-A1A6-01A-11D-A13V-01	8	125654714	125658902	4	-0.0788
TCGA-DK-A1A6-01A-11D-A13V-01	8	125659486	127445326	1263	1.0369
TCGA-DK-A1A6-01A-11D-A13V-01	8	127447499	141463903	10296	0.2147
TCGA-DK-A1A6-01A-11D-A13V-01	8	141464105	141561415	41	0.5562
TCGA-DK-A1A6-01A-11D-A13V-01	8	141562457	145232496	586	0.1855
TCGA-DK-A1A6-01A-11D-A13V-01	9	789932	23157048	14213	-0.1158
TCGA-DK-A1A6-01A-11D-A13V-01	9	23160811	26634028	2012	0.2277
TCGA-DK-A1A6-01A-11D-A13V-01	9	26634761	28423065	1222	-0.1468
TCGA-DK-A1A6-01A-11D-A13V-01	9	28424832	28440544	14	0.274
TCGA-DK-A1A6-01A-11D-A13V-01	9	28441579	29519971	368	-0.1667
TCGA-DK-A1A6-01A-11D-A13V-01	9	29524697	32874871	1918	0.1949
TCGA-DK-A1A6-01A-11D-A13V-01	9	32875043	32876932	4	1.0222
TCGA-DK-A1A6-01A-11D-A13V-01	9	32877013	38747688	3559	0.2167
TCGA-DK-A1A6-01A-11D-A13V-01	9	71039044	114829769	29253	-0.5432
TCGA-DK-A1A6-01A-11D-A13V-01	9	114830481	116184362	694	-0.1159
TCGA-DK-A1A6-01A-11D-A13V-01	9	116185987	119238428	2105	-0.5473
TCGA-DK-A1A6-01A-11D-A13V-01	9	119238935	119242224	2	-2.0175
TCGA-DK-A1A6-01A-11D-A13V-01	9	119243758	140938752	12499	-0.5768
TCGA-DK-A1A6-01A-11D-A13V-01	10	415240	4276736	2265	0.238
TCGA-DK-A1A6-01A-11D-A13V-01	10	4279313	4284196	6	-0.4227
TCGA-DK-A1A6-01A-11D-A13V-01	10	4284624	9773733	4142	0.2064
TCGA-DK-A1A6-01A-11D-A13V-01	10	9777868	14640746	3940	0.6743
TCGA-DK-A1A6-01A-11D-A13V-01	10	14641359	14975171	256	0.2064
TCGA-DK-A1A6-01A-11D-A13V-01	10	15070649	15984176	694	0.6437
TCGA-DK-A1A6-01A-11D-A13V-01	10	15985037	16191720	135	1.2284
TCGA-DK-A1A6-01A-11D-A13V-01	10	16194954	16267247	45	0.5918
TCGA-DK-A1A6-01A-11D-A13V-01	10	16267474	16383931	89	0.9541
TCGA-DK-A1A6-01A-11D-A13V-01	10	16383987	17482793	863	0.5844
TCGA-DK-A1A6-01A-11D-A13V-01	10	17483187	17557179	52	0.9598
TCGA-DK-A1A6-01A-11D-A13V-01	10	17558724	38101440	13273	0.2042
TCGA-DK-A1A6-01A-11D-A13V-01	10	38104487	43284239	531	0.6755
TCGA-DK-A1A6-01A-11D-A13V-01	10	43289718	43524628	142	0.2043
TCGA-DK-A1A6-01A-11D-A13V-01	10	43524701	43525742	2	-1.5958
TCGA-DK-A1A6-01A-11D-A13V-01	10	43526023	53199474	3599	0.2105
TCGA-DK-A1A6-01A-11D-A13V-01	10	53199619	53200276	2	-1.1507
TCGA-DK-A1A6-01A-11D-A13V-01	10	53201249	63724773	6568	0.2369
TCGA-DK-A1A6-01A-11D-A13V-01	10	63731324	64096276	220	0.7417
TCGA-DK-A1A6-01A-11D-A13V-01	10	64098949	85534283	12876	0.2012
TCGA-DK-A1A6-01A-11D-A13V-01	10	85535946	85540277	2	-0.7762
TCGA-DK-A1A6-01A-11D-A13V-01	10	85540591	91393013	3783	0.2134
TCGA-DK-A1A6-01A-11D-A13V-01	10	91393712	91395084	5	-0.6817
TCGA-DK-A1A6-01A-11D-A13V-01	10	91395428	126927382	22754	0.2196
TCGA-DK-A1A6-01A-11D-A13V-01	10	126928396	126952042	2	-0.9033
TCGA-DK-A1A6-01A-11D-A13V-01	10	126955199	135225087	4599	0.2333
TCGA-DK-A1A6-01A-11D-A13V-01	11	456120	466188	6	-0.5989
TCGA-DK-A1A6-01A-11D-A13V-01	11	467339	1672903	363	-0.163
TCGA-DK-A1A6-01A-11D-A13V-01	11	1675157	58539526	31519	-0.5594
TCGA-DK-A1A6-01A-11D-A13V-01	11	58544792	58791738	142	0.5139
TCGA-DK-A1A6-01A-11D-A13V-01	11	58800374	62493586	1961	-0.5754
TCGA-DK-A1A6-01A-11D-A13V-01	11	62493600	64425467	841	0.1603
TCGA-DK-A1A6-01A-11D-A13V-01	11	64431461	66053531	231	-0.6161
TCGA-DK-A1A6-01A-11D-A13V-01	11	66058188	66066993	9	1.0027
TCGA-DK-A1A6-01A-11D-A13V-01	11	66068303	67294308	432	0.3812
TCGA-DK-A1A6-01A-11D-A13V-01	11	67770619	67937198	74	1.6036
TCGA-DK-A1A6-01A-11D-A13V-01	11	67938848	68119977	94	2.1837
TCGA-DK-A1A6-01A-11D-A13V-01	11	68120583	69434303	688	2.5606
TCGA-DK-A1A6-01A-11D-A13V-01	11	69434580	69538901	57	2.9466
TCGA-DK-A1A6-01A-11D-A13V-01	11	69539712	69866283	155	2.5907
TCGA-DK-A1A6-01A-11D-A13V-01	11	69866631	70020966	97	2.9307
TCGA-DK-A1A6-01A-11D-A13V-01	11	70025077	70056677	17	-0.5199
TCGA-DK-A1A6-01A-11D-A13V-01	11	70071719	70524547	255	0.188
TCGA-DK-A1A6-01A-11D-A13V-01	11	70528233	70787213	165	-0.0886
TCGA-DK-A1A6-01A-11D-A13V-01	11	70789178	73499914	1292	0.2044
TCGA-DK-A1A6-01A-11D-A13V-01	11	73502760	73980347	240	0.8701
TCGA-DK-A1A6-01A-11D-A13V-01	11	73982204	86565628	7647	0.2195
TCGA-DK-A1A6-01A-11D-A13V-01	11	86567729	86688920	87	0.9031
TCGA-DK-A1A6-01A-11D-A13V-01	11	86689017	87385739	479	0.2463
TCGA-DK-A1A6-01A-11D-A13V-01	11	87386432	98953287	6818	-0.5687
TCGA-DK-A1A6-01A-11D-A13V-01	11	98953367	98953892	2	-2.3219
TCGA-DK-A1A6-01A-11D-A13V-01	11	98953960	134142530	23408	-0.5638
TCGA-DK-A1A6-01A-11D-A13V-01	12	889902	11948053	5898	0.1937
TCGA-DK-A1A6-01A-11D-A13V-01	12	11951115	12274935	317	0.4378
TCGA-DK-A1A6-01A-11D-A13V-01	12	12282887	75931210	34284	0.2154
TCGA-DK-A1A6-01A-11D-A13V-01	12	75932955	75933024	2	1.2376
TCGA-DK-A1A6-01A-11D-A13V-01	12	75933633	80435416	2907	0.2039
TCGA-DK-A1A6-01A-11D-A13V-01	12	80435717	82424467	1255	0.4922
TCGA-DK-A1A6-01A-11D-A13V-01	12	82426702	83616397	705	0.8947
TCGA-DK-A1A6-01A-11D-A13V-01	12	83620911	83630821	7	0.3281
TCGA-DK-A1A6-01A-11D-A13V-01	12	83630854	83772708	80	0.9335
TCGA-DK-A1A6-01A-11D-A13V-01	12	83775310	96205514	7467	0.4818
TCGA-DK-A1A6-01A-11D-A13V-01	12	96205888	96214200	4	0.2267
TCGA-DK-A1A6-01A-11D-A13V-01	12	96214594	107708566	7525	-0.1195
TCGA-DK-A1A6-01A-11D-A13V-01	12	107709150	107805222	79	0.5009
TCGA-DK-A1A6-01A-11D-A13V-01	12	107809070	133161346	13382	0.2119
TCGA-DK-A1A6-01A-11D-A13V-01	13	19450806	21356540	633	-0.5498
TCGA-DK-A1A6-01A-11D-A13V-01	13	21356650	21356855	2	-2.5305
TCGA-DK-A1A6-01A-11D-A13V-01	13	21356874	26021708	2616	-0.5749
TCGA-DK-A1A6-01A-11D-A13V-01	13	26022597	26038309	11	-0.1972
TCGA-DK-A1A6-01A-11D-A13V-01	13	26040850	26079717	29	0.1713
TCGA-DK-A1A6-01A-11D-A13V-01	13	26080503	54958894	18054	-0.125
TCGA-DK-A1A6-01A-11D-A13V-01	13	54959146	54959904	2	1.0363
TCGA-DK-A1A6-01A-11D-A13V-01	13	54959922	85976268	16986	-0.1309
TCGA-DK-A1A6-01A-11D-A13V-01	13	85976833	86048728	40	0.3179
TCGA-DK-A1A6-01A-11D-A13V-01	13	86050795	99235122	7993	-0.1324
TCGA-DK-A1A6-01A-11D-A13V-01	13	99236873	99238169	4	-1.2326
TCGA-DK-A1A6-01A-11D-A13V-01	13	99247626	114987458	10219	-0.1072
TCGA-DK-A1A6-01A-11D-A13V-01	14	20501368	68110010	26210	-0.1094
TCGA-DK-A1A6-01A-11D-A13V-01	14	68118746	68418213	184	-0.5601
TCGA-DK-A1A6-01A-11D-A13V-01	14	68556944	103331590	22061	-0.1114
TCGA-DK-A1A6-01A-11D-A13V-01	14	103332870	103928819	314	0.2231
TCGA-DK-A1A6-01A-11D-A13V-01	14	103932746	104303694	172	-0.1288
TCGA-DK-A1A6-01A-11D-A13V-01	14	104305657	104331543	10	-0.6381
TCGA-DK-A1A6-01A-11D-A13V-01	14	104331557	105988038	447	-0.1275
TCGA-DK-A1A6-01A-11D-A13V-01	15	23687685	25140699	618	-0.0813
TCGA-DK-A1A6-01A-11D-A13V-01	15	25141075	32929864	2613	-0.5687
TCGA-DK-A1A6-01A-11D-A13V-01	15	32931904	51882273	11199	-0.1123
TCGA-DK-A1A6-01A-11D-A13V-01	15	51889768	52152218	154	0.2518
TCGA-DK-A1A6-01A-11D-A13V-01	15	52153178	99620831	28871	-0.1024
TCGA-DK-A1A6-01A-11D-A13V-01	15	99620995	99621017	2	-1.294
TCGA-DK-A1A6-01A-11D-A13V-01	15	99621138	101884307	1029	-0.1018
TCGA-DK-A1A6-01A-11D-A13V-01	16	653459	19425395	8472	-0.1291
TCGA-DK-A1A6-01A-11D-A13V-01	16	19426403	19432418	3	-1.0602
TCGA-DK-A1A6-01A-11D-A13V-01	16	19434756	49607490	7069	-0.1402
TCGA-DK-A1A6-01A-11D-A13V-01	16	49609203	49612461	3	-1.6887
TCGA-DK-A1A6-01A-11D-A13V-01	16	49614038	89379936	25210	-0.1237
TCGA-DK-A1A6-01A-11D-A13V-01	17	987221	2416851	603	0.1295
TCGA-DK-A1A6-01A-11D-A13V-01	17	2417036	10379289	4213	-0.1636
TCGA-DK-A1A6-01A-11D-A13V-01	17	10383994	11629998	936	-0.5581
TCGA-DK-A1A6-01A-11D-A13V-01	17	11631091	11635859	9	0.716
TCGA-DK-A1A6-01A-11D-A13V-01	17	11639149	11661701	20	-0.6023
TCGA-DK-A1A6-01A-11D-A13V-01	17	11663722	11703528	30	0.4746
TCGA-DK-A1A6-01A-11D-A13V-01	17	11708451	11721850	13	-0.615
TCGA-DK-A1A6-01A-11D-A13V-01	17	11728730	12865351	758	0.7067
TCGA-DK-A1A6-01A-11D-A13V-01	17	12866431	12883013	13	-0.5888
TCGA-DK-A1A6-01A-11D-A13V-01	17	12884471	12946228	47	-0.116
TCGA-DK-A1A6-01A-11D-A13V-01	17	12946683	13012856	53	-0.5435
TCGA-DK-A1A6-01A-11D-A13V-01	17	13013582	13681779	417	-1.289
TCGA-DK-A1A6-01A-11D-A13V-01	17	13682624	15773908	372	-0.6082
TCGA-DK-A1A6-01A-11D-A13V-01	17	15774154	16153520	172	-1.2664
TCGA-DK-A1A6-01A-11D-A13V-01	17	16154155	16412342	130	-0.597
TCGA-DK-A1A6-01A-11D-A13V-01	17	16416773	16458813	25	0.4149
TCGA-DK-A1A6-01A-11D-A13V-01	17	16464798	16473277	9	-0.5679
TCGA-DK-A1A6-01A-11D-A13V-01	17	16474613	16490573	6	0.3594
TCGA-DK-A1A6-01A-11D-A13V-01	17	16496402	16524379	13	-0.5245
TCGA-DK-A1A6-01A-11D-A13V-01	17	16540310	21305392	1787	0.7436
TCGA-DK-A1A6-01A-11D-A13V-01	17	25270517	25772929	208	0.0778
TCGA-DK-A1A6-01A-11D-A13V-01	17	25807835	27032827	598	0.4486
TCGA-DK-A1A6-01A-11D-A13V-01	17	27040304	27217706	66	0.7684
TCGA-DK-A1A6-01A-11D-A13V-01	17	27235277	28937664	777	0.1442
TCGA-DK-A1A6-01A-11D-A13V-01	17	28952029	31958181	1702	0.6546
TCGA-DK-A1A6-01A-11D-A13V-01	17	32943643	32980459	24	0.0945
TCGA-DK-A1A6-01A-11D-A13V-01	17	32987516	33414046	260	-1.2852
TCGA-DK-A1A6-01A-11D-A13V-01	17	33414396	33440166	17	-0.5542
TCGA-DK-A1A6-01A-11D-A13V-01	17	33442268	33487809	28	0.6436
TCGA-DK-A1A6-01A-11D-A13V-01	17	33490763	33492402	7	-0.6899
TCGA-DK-A1A6-01A-11D-A13V-01	17	33493676	33500126	7	0.5708
TCGA-DK-A1A6-01A-11D-A13V-01	17	33501136	37359737	1683	-0.1656
TCGA-DK-A1A6-01A-11D-A13V-01	17	37362533	37816079	178	0.8027
TCGA-DK-A1A6-01A-11D-A13V-01	17	37820992	38012058	114	1.7354
TCGA-DK-A1A6-01A-11D-A13V-01	17	38016170	38242629	107	0.4442
TCGA-DK-A1A6-01A-11D-A13V-01	17	38243073	40917208	1264	-0.1401
TCGA-DK-A1A6-01A-11D-A13V-01	17	40920239	43511538	1186	0.4026
TCGA-DK-A1A6-01A-11D-A13V-01	17	44811098	46204763	706	0.6568
TCGA-DK-A1A6-01A-11D-A13V-01	17	46205397	80917016	18400	0.2002
TCGA-DK-A1A6-01A-11D-A13V-01	18	329586	5275277	2523	-0.1084
TCGA-DK-A1A6-01A-11D-A13V-01	18	5282442	5282665	2	-1.5192
TCGA-DK-A1A6-01A-11D-A13V-01	18	5290198	23532611	8538	-0.1219
TCGA-DK-A1A6-01A-11D-A13V-01	18	23534765	23534768	2	-1.7618
TCGA-DK-A1A6-01A-11D-A13V-01	18	23535593	33416937	5920	-0.1263
TCGA-DK-A1A6-01A-11D-A13V-01	18	33416943	33825744	212	0.2251
TCGA-DK-A1A6-01A-11D-A13V-01	18	33827996	77109240	25418	-0.1236
TCGA-DK-A1A6-01A-11D-A13V-01	19	284018	17033083	6447	-0.1732
TCGA-DK-A1A6-01A-11D-A13V-01	19	17037785	17060324	14	0.396
TCGA-DK-A1A6-01A-11D-A13V-01	19	17060800	17287575	124	-0.191
TCGA-DK-A1A6-01A-11D-A13V-01	19	17289100	17295023	3	-0.782
TCGA-DK-A1A6-01A-11D-A13V-01	19	17297095	17325861	12	-0.2089
TCGA-DK-A1A6-01A-11D-A13V-01	19	17340400	51135457	14080	0.1774
TCGA-DK-A1A6-01A-11D-A13V-01	19	51136657	55537773	1586	0.5333
TCGA-DK-A1A6-01A-11D-A13V-01	19	55540525	55540581	2	-0.8302
TCGA-DK-A1A6-01A-11D-A13V-01	19	55547934	57409367	897	0.4344
TCGA-DK-A1A6-01A-11D-A13V-01	19	57412253	58855835	771	0.8705
TCGA-DK-A1A6-01A-11D-A13V-01	19	58860686	58878226	10	1.8209
TCGA-DK-A1A6-01A-11D-A13V-01	20	455764	7646704	4385	0.1895
TCGA-DK-A1A6-01A-11D-A13V-01	20	7649364	16817706	6089	-0.1233
TCGA-DK-A1A6-01A-11D-A13V-01	20	16824361	16824480	2	-1.7671
TCGA-DK-A1A6-01A-11D-A13V-01	20	16824933	26197899	6340	-0.1163
TCGA-DK-A1A6-01A-11D-A13V-01	20	29843973	40359519	5767	0.6581
TCGA-DK-A1A6-01A-11D-A13V-01	20	40360023	40360027	5	-0.1034
TCGA-DK-A1A6-01A-11D-A13V-01	20	40360784	62219837	14675	0.6823
TCGA-DK-A1A6-01A-11D-A13V-01	21	15347621	15717883	196	1.1668
TCGA-DK-A1A6-01A-11D-A13V-01	21	15720371	17709863	1232	1.6074
